name,url,description,test_type_codes,test_type_names,remote_testing,adaptive_irt,job_levels,languages,duration
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for ,,,True,False,Entry-Level,"Latin American Spanish, German, Chinese Simplified, Finnish, Danish",18 minutes
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in ,,,True,False,"Director, Executive, Manager","Italian, English (USA), English International, Korean",Untimed
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in ,,,True,False,"Director, Executive, Manager",,
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in ,,,True,False,"Director, Executive, Manager",,
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is re,,,True,False,Entry-Level,English (USA),3 minutes
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric orde",,,True,False,Entry-Level,English (USA),3 minutes
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.",,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate r,,,True,False,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English International,8 minutes
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate ,,,True,False,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,Multi-choice test that measures the knowledge of front office operations.,,,True,False,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.",,,True,False,"Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate",English (USA),10 minutes
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",,,True,False,"Mid-Professional, Professional Individual Contributor, Graduate",English (USA),8 minutes
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,Multi-choice test that measures the knowledge of how to use GIT for version control.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Fr,,,True,False,,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil)",16 minutes
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in g,,,True,False,"Manager, Mid-Professional, Professional Individual Contributor, Graduate",English International,Untimed
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in g,,,True,False,"Mid-Professional, Professional Individual Contributor, Manager, Graduate",,
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in g,,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor",,
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals ,,,True,True,"Front Line Manager, Manager",English (USA),15 minutes
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the stronge",,,True,False,,,
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the stronge",,,True,False,,,
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial ",,,True,False,,,
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",,,True,False,"Entry-Level, Front Line Manager, Supervisor",English (USA),7 minutes
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal,",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8 minutes
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professiona,,,True,True,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Beha",,,True,True,"Front Line Manager, Manager",English (USA),15 minutes
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.",,,True,False,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8 minutes
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business C",,,True,True,"Entry-Level, Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),18 minutes
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonl",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.",,,True,False,"Entry-Level, General Population, Graduate, Professional Individual Contributor",English (USA),15 minutes
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each follow",,,True,False,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Italian, English International, Korean, Arabic",Untimed
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each follow",,,True,False,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",,
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each follow",,,True,False,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",,
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each follow",,,True,False,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",,
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,"The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie successful and safe performance in an 
industrial/manufacturing setting. ",,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),49 minutes
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,"The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational ",,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), German, Latin American Spanish, French, English International",16 minutes
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,"The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors 
that underlie successful and safe performance in an industrial/manufacturing setting. This 
solution asses",,,True,False,"Mid-Professional, Professional Individual Contributor, Entry-Level, Graduate, Manager","English International, French, English (USA), Chinese Simplified, Italian",16 minutes
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,"The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solutio",,,True,False,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), English International, Italian, Japanese, Latin American Spanish",31 minutes
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,"The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This soluti",,,True,False,"Entry-Level, Mid-Professional, Professional Individual Contributor, Graduate, Manager",English (USA),34 minutes
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement managemen",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,"Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mecha",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),19 minutes
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),3 minutes
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,"Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10 minutes
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect th",,,True,False,,,
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated",,,True,False,,,
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to id,,,True,False,,,
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open que",,,True,False,,,
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Multi-choice test that measures the knowledge of automation testing using the QTP tool.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,"Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,"Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functio",,,True,False,Entry-Level,English (USA),30 minutes
"Microsoft 
    365 (New)",https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating ",,,True,False,Entry-Level,English (USA),35 minutes
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,"The Microsoft Outlook 2013 (adaptive) test measures knowledge of Microsoft Outlook 2013. Designed for professionals, this test includes the following topics: Application Management, Contacts and Addre",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,"The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Tra",,,True,False,Entry-Level,English (USA),25 minutes
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,"The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers t",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,"The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Act",,,True,True,"Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,"The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations a",,,True,False,Entry-Level,English (USA),25 minutes
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, ",,,True,False,Entry-Level,English (USA),35 minutes
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),12 minutes
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,"Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.",,,True,False,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),16 minutes
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,"Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.",,,True,False,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,"Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of MongoDB queries and data models.",,,True,False,"Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,"By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individ",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Latin American Spanish, Portuguese (Brazil), Latvian, Danish, Indonesian",25 minutes
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work.,,,True,False,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA), Chinese Simplified",
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,"The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-unde",,,True,False,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Chinese Simplified, English International, English (USA)",
